line	section	text
572	Fig. 2	P = 0.0012
573	Fig. 2	P = 0.0173
574	Fig. 2	P = 0.0364
575	Fig. 2	P < 0.013
576	Fig. 2	P = 0.011
577	Fig. 2	P = 0.0341
578	Fig. 2	P = 0.0136
579	Fig. 2	P = 0.0127
580	Fig. 2	P = 0.0028
581	Fig. 2	P = 0.0272
582	Fig. 2	P = 0.0131
584	Fig. 2	RAB22A-MYO9B
585	Fig. 2	RAB22A
586	Fig. 2	MYO9B
587	Fig. 2	0
588	Fig. 2	0.5
589	Fig. 2	1.0
590	Fig. 2	1.5
593	Fig. 2	siRAB22A-MYO9B #1
594	Fig. 2	siRAB22A-MYO9B #2
595	Fig. 2	siRAB22A-MYO9B #3
596	Fig. 2	siRAB22A-MYO9B #4
597	Fig. 2	siRAB22A-MYO9B #5
598	Fig. 2	P < 0.0001
599	Fig. 2	P < 0.0001
600	Fig. 2	P < 0.0001
601	Fig. 2	P < 0.0001
602	Fig. 2	P < 0.0001
603	Fig. 2	P < 0.0001
604	Fig. 2	P < 0.0001
605	Fig. 2	P < 0.0001
606	Fig. 2	P < 0.0001
607	Fig. 2	P = 0.4918
608	Fig. 2	P > 0.4226
609	Fig. 2	P = 0.0051
610	Fig. 2	P = 0.1076
611	Fig. 2	P = 0.0127
612	Fig. 2	P = 0.0533
618	Fig. 2	sh5
619	Fig. 2	RAB22A-MYO9B
620	Fig. 2	BT-474
621	Fig. 2	WB: RAB22A-N
622	Fig. 2	IP: RAB22A-N
623	Fig. 2	Rab22a-Myo9B
624	Fig. 2	25
625	Fig. 2	25
626	Fig. 2	45
627	Fig. 2	(kDa)
628	Fig. 2	(kDa)
629	Fig. 2	4.6
635	Fig. 2	sh5
636	Fig. 2	HCC2935
637	Fig. 2	IP: RAB22A-N
638	Fig. 2	WB: RAB22A-N
639	Fig. 2	Rab22a-TEF
640	Fig. 2	25
641	Fig. 2	25
642	Fig. 2	45
643	Fig. 2	4.6
644	Fig. 2	RAB22A-TEF
650	Fig. 2	0
651	Fig. 2	0.5
652	Fig. 2	1.0
653	Fig. 2	1.5
654	Fig. 2	BT-474 siNC
655	Fig. 2	BT-474 siRAB22A-MYO9B #5
656	Fig. 2	HCC2935 siNC
657	Fig. 2	HCC2935 siRAB22A-TEF#5
658	Fig. 2	P < 0.0001
659	Fig. 2	P < 0.0001
660	Fig. 2	P < 0.0001
661	Fig. 2	P < 0.0001
663	Fig. 2	5 mm
664	Fig. 2	5 mm
666	Fig. 2	BT-474
667	Fig. 2	sh5
668	Fig. 2	RAB22A-MYO9B
669	Fig. 2	Lung metastasis (nodules)
671	Fig. 2	sh5
672	Fig. 2	0
673	Fig. 2	1
674	Fig. 2	2
675	Fig. 2	3
676	Fig. 2	4
677	Fig. 2	RAB22A-MYO9B
678	Fig. 2	P = 0.0034
680	Fig. 2	Lung wet weight (g)
682	Fig. 2	sh5
683	Fig. 2	0.00
684	Fig. 2	0.05
685	Fig. 2	0.10
686	Fig. 2	0.15
687	Fig. 2	0.20
688	Fig. 2	0.25
690	Fig. 2	RAB22A-MYO9B
691	Fig. 2	P = 0.0024
692	Fig. 2	2.5
693	Fig. 2	2.0
694	Fig. 2	Radiance (×107 p s–1 cm–2 sr–1)
695	Fig. 2	1.5
696	Fig. 2	1.0
697	Fig. 2	0.5
698	Fig. 2	6
699	Fig. 2	5
700	Fig. 2	4
701	Fig. 2	3
702	Fig. 2	2
705	Fig. 2	872
708	Fig. 2	(Fig. 6a and Extended Data Fig. 8e,f). Moreover, amino acids 1–10
709	Fig. 2	of Rab22a-NeoF1 were required for its enhancement of cell migra-
710	Fig. 2	tion, invasion and adhesion in both 143B and U2OS/MT300 cells
711	Fig. 2	(Fig. 6b and Extended Data Fig. 9a). In the orthotopic osteosarcoma
712	Fig. 2	metastasis model, amino acids 1–10 of Rab22a-NeoF1 was essential
713	Fig. 2	for the promotion of lung metastases (Fig. 6c–e and Extended Data
714	Fig. 2	Fig. 9b), and deletion of these residues from Rab22a-NeoF1 pro-
715	Fig. 2	longed the survival of these mice (Extended Data Fig. 9c,d).
716	Fig. 2	Amino acids 1–10 of Rab22a-NeoF1 include the positively
717	Fig. 2	charged residues Arg4 and Lys7. As this region binds to the negatively
718	Fig. 2	charged region of SmgGDS-607, we tested whether Rab22a-NeoF1
719	Fig. 2	Arg4 and Lys7 were required for this interaction. In the structure
720	Fig. 2	of full-length Rab22a35, Lys7 is blocked by the main-chain oxygen
721	Fig. 2	atoms of Met73, Tyr74 and Arg76, whereas Arg4 is surface-exposed
722	Fig. 2	(Extended Data Fig. 9e). In Rab22a-NeoF1, however, Arg4 and Lys7
724	Fig. 2	ferences in folding from that of wild-type Rab22a. We mutated Arg4
725	Fig. 2	and Lys7 to Asp or Glu in Rab22a-NeoF1 (R4D/K7D, hereafter DD;
726	Fig. 2	R4E/K7E, hereafter EE). As expected, both DD and EE mutants
727	Fig. 2	of Rab22a-NeoF1 lost the ability to bind to SmgGDS-607 in cells
728	Fig. 2	(Fig. 6f). Furthermore, purified SmgGDS-607–His was pulled
729	Fig. 2	down by Rab22a-NeoF1, but not by the DD mutant (Extended Data
730	Fig. 2	Fig. 9f). Similar to the deletion of Rab22a residues 1–10, none of
731	Fig. 2	the vivo or in vitro phenotypes of Rab22a-NeoF1, such as status of
732	Fig. 2	RhoA, cell migration, invasion, adhesion, lung metastases in mice
733	Fig. 2	and survival, were observed with the DD mutant (Fig. 6g–k and
734	Fig. 2	Extended Data Fig. 9g–j). Thus, Arg4 and Lys7 of Rab22a-NeoF1
735	Fig. 2	are required for its binding to SmgGDS-607 to promote lung
736	Fig. 2	metastasis, confirming that the interaction of Rab22a-NeoF1 with
737	Fig. 2	SmgGDS-607 is required for Rab22a-NeoF1 to execute its functions.
738	Fig. 2	The interaction between Rab22a-NeoF1 and SmgGDS-607 is a
739	Fig. 2	potential therapeutic target for osteosarcoma lung metastasis. We
740	Fig. 2	synthesized peptides based on amino acids 1–10 of Rab22a-NeoF1
741	Fig. 2	in an attempt to block the functions of Rab22a-NeoF1, as shown in
742	Fig. 2	Fig. 7a. The biotin-labelled peptide (biotin–MALRELKVCL, bio-
744	Fig. 2	biotin–pep(DD)), specifically bound to SmgGDS from cell lysates
745	Fig. 2	of both ZOS and ZOS-M cells that were positive for Rab22a-NeoF1
746	Fig. 2	in a dose-dependent manner (Fig. 7b and Extended Data
747	Fig. 2	Fig. 10a). Moreover, RhoA–GTP levels increased after whole-cell
748	Fig. 2	lysates from 143B cells were incubated in  vitro with either
749	Fig. 2	amino acids 1–38 of Rab22a or Rab22a-NeoF1(WT), but not
752	Fig. 2	(peptide(DD)) (Fig. 7a,c,d). These results also indicated that the
753	Fig. 2	interaction between residues 1–10 of Rab22a-NeoF1 (for example,
754	Fig. 2	peptide(WT)) and SmgGDS-607 is insufficient to activate RhoA;
755	Fig. 2	that is, residues among amino acids 11–38 of Rab22a-NeoF1 are
757	Fig. 2	mutation of Lys18, a conserved residue, to either Asp or Glu did
758	Fig. 2	not affect its binding affinity to SmgGDS-607 (Fig. 7e), but abol-
759	Fig. 2	ished the functions of Rab22a-NeoF1 in RhoA activation, cell
760	Fig. 2	migration, invasion and adhesion in both 143B and U2OS/MT300
761	Fig. 2	cells (Fig. 7f,g).
762	Fig. 2	Next, we made the peptides cell permeable by conjugating them
763	Fig. 2	to the targeting peptide iRGD36,37. Peptide(WT)–iRGD (here-
765	Fig. 2	iRGD), diminished the interaction between Rab22a-NeoF1 and
766	Fig. 2	SmgGDS-607 in cells (Fig. 7h) and decreased the level of RhoA–
767	Fig. 2	GTP in ZOS-M cells that were positive for Rab22a-NeoF1 and in
768	Fig. 2	143B cells stably expressing Rab22a-NeoF1 (Fig. 7i,j). As both Itgav
769	Fig. 2	and Nrp1, which are required for the function of iRGD in cells, were
770	Fig. 2	detected in osteosarcoma cell lines including 143B, U2OS/MTX300,
771	Fig. 2	ZOS-M and ZOS (Extended Data Fig. 10b), we tested whether
772	Fig. 2	WT–iRGD attenuates the formation of lung metastases induced
773	Fig. 2	by Rab22a-NeoF1. First, WT–iRGD, but not DD–iRGD, inhib-
775	Fig. 2	143B and U2OS/MTX300 cells stably expressing Rab22a-NeoF1
776	Fig. 2	(Extended Data Fig. 10c–f). Second, WT–iRGD, but not DD–iRGD,
777	Fig. 2	decreased cell migration, invasion and adhesion in both 143B and
778	Fig. 2	U2OS/MTX300 cells stably expressing Rab22a-NeoF1, but not
779	Fig. 2	cells stably expressing the empty vector (Fig. 7k–m). Similarly,
781	Fig. 2	in both ZOS and ZOS-M cells carrying endogenous Rab22a-NeoF1
782	Fig. 2	(Extended Data Fig. 10g). Third, using 143B cells expressing fire-
783	Fig. 2	fly luciferase (143B-Luc cells) and stably expressing Rab22a-NeoF1
784	Fig. 2	and ZOS-M cells expressing firefly luciferase (ZOS-M-Luc cells), we
785	Fig. 2	examined the effects of this iRGD fusion peptide on lung metas-
787	Fig. 2	sis, as illustrated in Extended Data Fig. 10h. WT–iRGD, but not
788	Fig. 2	DD–iRGD, inhibited lung metastases and increased the survival
789	Fig. 2	time of mice (Fig. 8a–f and Extended Data Fig. 10i–k). Collectively,
791	Fig. 2	between Rab22a-NeoF1 and SmgGDS-607 using these targeting
792	Fig. 2	peptides based on Rab22a(WT) sequence abrogates lung metastasis
793	Fig. 2	induced by Rab22a-NeoF1, and suggest a promising strategy for a
794	Fig. 2	subset of patients with osteosarcoma and lung metastases.
796	Discussion	In this study, we have identified and validated recurring functional
797	Discussion	fusion proteins involving Rab22a1–38, which have a key role in driv-
798	Discussion	ing tumour metastasis. Thus, any mutation or genomic alteration
799	Discussion	that leads to a truncation of Rab22a that includes Rab22a1–38 may
800	Discussion	result in expression of a metastasis-driving protein. Similar func-
801	Discussion	tions of Rab22a truncations may occur with a frequency higher than
802	Discussion	the 5.4% that we observed in osteosarcoma with metastasis, as we
804	Fig. 3	Fig. 3 | Rab22a-NeoF1 promotes lung metastasis of osteosarcoma. a, FISH analyses of formalin-fixed and paraffin-embedded osteosarcoma tissues. Red,
805	Fig. 3	RAB22A; green, DOK5; yellow, RAB22A-DOK5 fusion (arrows). Scale bars, 5 μm. b, The detection of endogenous Rab22a-NeoF1 protein by hRAD5-8-v1-R5
806	Fig. 3	in immunoprecipitates with the monoclonal antibody RAD5-8 from ZOS-M cells, tumour tissues (T) and corresponding normal tissues (N). ZOS-M is
807	Fig. 3	positive for the RAB22A-NeoF1 fusion gene. T2 and T3 are tumour tissues that are positive and negative for the RAB22A-NeoF1 fusion gene, respectively
808	Fig. 3	(Fig. 1b); N2 and N3 are corresponding normal tissues for T2 and T3, respectively. c, Detection of endogenous Rab22a-NeoF1 protein by western
809	Fig. 3	blotting in the indicated stable cell lines. Data in a–c are representative of n = 3 biologically independent experiments. NC, negative control shRNA.
810	Fig. 3	d,e, Migration and invasion assays using the indicated stable cell lines with shRNAs targeting RAB22A-NeoF1 (d) or overexpression of Rab22a-NeoF1 (e).
811	Fig. 3	Data are mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. NC, negative control shRNA. Vector,
812	Fig. 3	vector-only control. f–k, The in vivo orthotopic model of osteosarcoma metastasis with the indicated stable cell lines with expression of Rab22a-NeoF1
813	Fig. 3	(f–h) or knockdown of RAB22A-NeoF1 (i–k) (n = 6 biologically independent animals). f,i, Representative images of mice. g,j, H&E staining of the lungs
814	Fig. 3	from representative tumour-bearing nude mice. Scale bars, 5 mm. h,k, Quantification of lung nodules. Data are mean ± s.d. P values are shown; two-tailed
816	Fig. 3	nanoparticles. Data are mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. siNC, negative control
817	Fig. 3	siRNA. m, Representative images of lungs from the in vivo orthotopic model of osteosarcoma metastasis in mouse using the indicated cells treated with
818	Fig. 3	the indicated nanoparticles (n = 6 biologically independent mice). NC, negative control siRNA.
820	Fig. 3	873
824	Fig. 3	the cBio data portal and in both BT-474 and HCC2935 cell lines
825	Fig. 3	from the CCLE RNA-seq dataset (Supplementary Tables 3 and 4).
826	Fig. 3	Fusions of gene sequence encoding Rab22a1–38 with different genes
827	Fig. 3	were also functional in these cell lines (Fig. 2h–m), indicating
828	Fig. 3	that gene fusions containing the Rab22a1–38 sequence occur and
831	Fig. 3	Tumour
833	Fig. 3	IP: RAD5-8
834	Fig. 3	ZOS-M IgG T2
835	Fig. 3	N2
836	Fig. 3	T3
837	Fig. 3	N3
838	Fig. 3	WB: hRAD5-8-V1-R5
839	Fig. 3	Rab22a-NeoF1
840	Fig. 3	25
841	Fig. 3	(kDa)
842	Fig. 3	15
845	Fig. 3	RAD5-8
847	Fig. 3	RAD5-8
851	Fig. 3	5 µm
852	Fig. 3	5 µm
853	Fig. 3	sh#1
854	Fig. 3	sh#2
855	Fig. 3	RAB22A-NeoF1
856	Fig. 3	15
857	Fig. 3	kDa
858	Fig. 3	45
859	Fig. 3	45
860	Fig. 3	15
862	Fig. 3	143B
863	Fig. 3	U2OS/MTX300
864	Fig. 3	143B
865	Fig. 3	U2OS/MTX300
866	Fig. 3	0
867	Fig. 3	2
868	Fig. 3	4
869	Fig. 3	6
871	Fig. 3	Rab22a-NeoF1
873	Fig. 3	P = 0.0061
874	Fig. 3	P = 0.0245 P = 0.0037
875	Fig. 3	P = 0.0263
880	Fig. 3	143B
881	Fig. 3	U2OS/MTX300
883	Fig. 3	Rab22a-NeoF1
884	Fig. 3	g
885	Fig. 3	U2OS/MTX300
886	Fig. 3	143B
887	Fig. 3	5 mm
888	Fig. 3	5 mm
889	Fig. 3	5 mm
890	Fig. 3	5 mm
892	Fig. 3	Rab22a-NeoF1
897	Fig. 3	0
898	Fig. 3	0.5
899	Fig. 3	1.0
900	Fig. 3	1.5
903	Fig. 3	shRAB22A-NeoF1 #1
904	Fig. 3	shRAB22A-NeoF1 #2
907	Fig. 3	P = 0.0000
908	Fig. 3	P = 0.0019
909	Fig. 3	P = 0.0075
910	Fig. 3	P = 0.0023
911	Fig. 3	P = 0.001
912	Fig. 3	P = 0.0006
913	Fig. 3	P = 0.0048
914	Fig. 3	P = 0.002
915	Fig. 3	Lung metastasis (nodules)
916	Fig. 3	Rab22a-NeoF1
917	Fig. 3	Rab22a-NeoF1
918	Fig. 3	0
919	Fig. 3	5
920	Fig. 3	10
921	Fig. 3	15
922	Fig. 3	143B
923	Fig. 3	U2OS/MTX300
924	Fig. 3	P < 0.0001
925	Fig. 3	P < 0.0001
932	Fig. 3	sh#1
933	Fig. 3	sh#2
935	Fig. 3	RAB22A-NeoF1
939	Fig. 3	sh#1
940	Fig. 3	sh#2
941	Fig. 3	RAB22A-NeoF1
943	Fig. 3	5 mm
944	Fig. 3	5 mm
945	Fig. 3	5 mm
946	Fig. 3	5 mm
947	Fig. 3	5 mm
948	Fig. 3	5 mm
949	Fig. 3	Lung metastasis (nodules)
951	Fig. 3	sh#1
952	Fig. 3	sh#2
954	Fig. 3	sh#1
955	Fig. 3	sh#2
956	Fig. 3	0
957	Fig. 3	5
958	Fig. 3	10
959	Fig. 3	15
962	Fig. 3	RAB22A-NeoF1
963	Fig. 3	P = 0.0026
964	Fig. 3	P = 0.0018
965	Fig. 3	P = 0.0001
966	Fig. 3	P < 0.0001
970	Fig. 3	U2OS/MTX300
972	Fig. 3	U2OS/MTX300
973	Fig. 3	0
974	Fig. 3	0.5
975	Fig. 3	1.0
976	Fig. 3	1.5
977	Fig. 3	Nanoparticle siRAB22A-NeoF1 #1
978	Fig. 3	Nanoparticle siRAB22A-NeoF1 #2
981	Fig. 3	P = 0.0013
982	Fig. 3	P = 0.0002
983	Fig. 3	P = 0.0014
984	Fig. 3	P = 0.0015
985	Fig. 3	P = 0.2254
986	Fig. 3	P = 0.6474
987	Fig. 3	P = 0.4995
988	Fig. 3	P = 0.6667
991	Fig. 3	si#1
992	Fig. 3	si#2
994	Fig. 3	U2OS/MTX300
995	Fig. 3	RAB22A-NeoF1
999	Fig. 3	6.0
1000	Fig. 3	4.0
1001	Fig. 3	2.0
1002	Fig. 3	3.0
1003	Fig. 3	2.0
1004	Fig. 3	1.0
1005	Fig. 3	2.0
1006	Fig. 3	1.5
1007	Fig. 3	1.0
1008	Fig. 3	Radiance (×107 p s–1 cm–2 sr–1)
1009	Fig. 3	Radiance (×105 p s–1 cm–2 sr–1)
1010	Fig. 3	Radiance (×105 p s–1 cm–2 sr–1)
1011	Fig. 3	0.5
1013	Fig. 3	874
1019	Fig. 3	Rab22a-NeoF1
1023	Fig. 3	Rab22a-NeoF1
1024	Fig. 3	143B
1025	Fig. 3	U2OS/MTX300
1027	Fig. 3	Rab22a-NeoF1
1032	Fig. 3	25
1033	Fig. 3	25
1034	Fig. 3	25
1035	Fig. 3	25
1036	Fig. 3	25
1037	Fig. 3	(kDa)
1038	Fig. 3	(kDa)
1039	Fig. 3	25
1040	Fig. 3	25
1041	Fig. 3	25
1042	Fig. 3	45
1048	Fig. 3	RAD5-8
1053	Fig. 3	RAD5-8
1055	Fig. 3	sh#1
1056	Fig. 3	sh#2
1057	Fig. 3	Rab22a-NeoF1
1058	Fig. 3	25
1059	Fig. 3	25
1060	Fig. 3	25
1061	Fig. 3	25
1062	Fig. 3	35
1063	Fig. 3	25
1064	Fig. 3	25
1065	Fig. 3	25
1066	Fig. 3	35
1067	Fig. 3	25
1074	Fig. 3	g
1076	Fig. 3	143B
1077	Fig. 3	U2OS/MTX300
1078	Fig. 3	0
1079	Fig. 3	2
1080	Fig. 3	4
1081	Fig. 3	6
1082	Fig. 3	8
1083	Fig. 3	10
1085	Fig. 3	Rab22a-NeoF1
1086	Fig. 3	Rab22a-NeoF1 + shNC
1087	Fig. 3	Rab22a-NeoF1 + shRhoA #1
1088	Fig. 3	Rab22a-NeoF1 + shRhoA #2
1089	Fig. 3	P = 0.3457
1090	Fig. 3	P > 0.9999
1091	Fig. 3	P = 0.3701
1092	Fig. 3	P > 0.9593
1094	Fig. 3	P = 0.0162
1095	Fig. 3	P = 0.0108
1096	Fig. 3	P = 0.0022
1097	Fig. 3	P = 0.0031
1101	Fig. 3	0.0
1102	Fig. 3	0.5
1103	Fig. 3	1.0
1104	Fig. 3	1.5
1105	Fig. 3	2.0
1107	Fig. 3	shRAB22A-NeoF1 #1
1108	Fig. 3	shRAB22A-NeoF1 #2
1109	Fig. 3	shRAB22A-NeoF1 #1 + RhoA
1110	Fig. 3	shRAB22A-NeoF1 #2 + RhoA
1113	Fig. 3	P = 0.005
1114	Fig. 3	P = 0.004
1115	Fig. 3	P = 0.1273
1116	Fig. 3	P = 0.3677
1117	Fig. 3	P = 0.0018
1118	Fig. 3	P = 0.3701
1119	Fig. 3	P = 0.5292
1120	Fig. 3	P = 0.0003
1121	Fig. 3	P = 0.0044
1122	Fig. 3	P = 0.1296
1123	Fig. 3	P = 0.4719
1124	Fig. 3	P = 0.004
1125	Fig. 3	P = 0.0001
1126	Fig. 3	P = 0.4975
1127	Fig. 3	P = 0.0702
1128	Fig. 3	P = 0.0005
1130	Fig. 3	143B U2OS/MTX300 143B U2OS/MTX300
1131	Fig. 3	0
1132	Fig. 3	2
1133	Fig. 3	4
1134	Fig. 3	6
1136	Fig. 3	Rab22a-NeoF1
1137	Fig. 3	Rab22a-NeoF1 + shNC
1138	Fig. 3	Rab22a-NeoF1 + shRhoA #1
1139	Fig. 3	Rab22a-NeoF1 + shRhoA #2
1142	Fig. 3	P = 0.0082
1143	Fig. 3	P = 0.0063
1144	Fig. 3	P = 0.5147
1145	Fig. 3	P = 0.1869
1146	Fig. 3	P = 0.0008
1147	Fig. 3	P = 0.8802
1148	Fig. 3	P = 0.3519
1149	Fig. 3	P = 0.0003
1150	Fig. 3	P = 0.0046
1151	Fig. 3	P = 0.8740
1152	Fig. 3	P = 0.9545
1153	Fig. 3	P = 0.0031
1154	Fig. 3	P = 0.0096
1155	Fig. 3	P = 0.6455
1156	Fig. 3	P = 0.06
1157	Fig. 3	P = 0.0019
1162	Fig. 3	0.0
1163	Fig. 3	0.5
1164	Fig. 3	1.0
1165	Fig. 3	1.5
1167	Fig. 3	shRAB22A-NeoF1 #1
1168	Fig. 3	shRAB22A-NeoF1 #2
1169	Fig. 3	shRAB22A-NeoF1 #1 + RhoA
1170	Fig. 3	shRAB22A-NeoF1 #2 + RhoA
1173	Fig. 3	P = 0.5967
1174	Fig. 3	P = 0.9726
1175	Fig. 3	P = 0.058
1176	Fig. 3	P = 0.6042
1177	Fig. 3	P < 0.0001
1178	Fig. 3	P = 0.0005
1179	Fig. 3	P = 0.0005
1180	Fig. 3	P < 0.0001
1181	Fig. 3	143B
1182	Fig. 3	U2OS/MTX300
1184	Fig. 3	shRhoA #1 shRhoA #2
1185	Fig. 3	Rab22a-NeoF1
1188	Fig. 3	5 mm
1189	Fig. 3	5 mm
1190	Fig. 3	5 mm
1191	Fig. 3	5 mm
1192	Fig. 3	5 mm
1193	Fig. 3	5 mm
1194	Fig. 3	5 mm
1195	Fig. 3	5 mm
1196	Fig. 3	5 mm
1197	Fig. 3	5 mm
1198	Fig. 3	143B
1199	Fig. 3	2OS/MTX300
1200	Fig. 3	Rab22a-NeoF1
1201	Fig. 3	Rab22a-NeoF1
1203	Fig. 3	shRhoA #1
1204	Fig. 3	shRhoA #2
1209	Fig. 3	Lung metastasis (nodules)
1211	Fig. 3	Rab22a-NeoF1
1213	Fig. 3	shRhoA #1
1214	Fig. 3	shRhoA #2
1215	Fig. 3	0
1216	Fig. 3	5
1217	Fig. 3	10
1218	Fig. 3	15
1219	Fig. 3	Rab22a-NeoF1
1220	Fig. 3	U2OS/MTX300
1221	Fig. 3	P < 0.0001
1222	Fig. 3	P < 0.0001
1223	Fig. 3	P > 0.9999
1224	Fig. 3	P > 0.9999
1225	Fig. 3	Lung metastasis (nodules)
1227	Fig. 3	Rab22a-NeoF1
1229	Fig. 3	shRhoA #1
1230	Fig. 3	shRhoA #2
1231	Fig. 3	0
1232	Fig. 3	5
1233	Fig. 3	10
1234	Fig. 3	15
1235	Fig. 3	20
1236	Fig. 3	Rab22a-NeoF1
1237	Fig. 3	143B
1238	Fig. 3	P < 0.0001
1239	Fig. 3	P < 0.0001
1240	Fig. 3	P = 0.7650
1241	Fig. 3	P = 0.0683
1242	Fig. 3	6.0
1243	Fig. 3	4.0
1244	Fig. 3	Radiance (×106 p s–1 cm–2 sr–1)
1245	Fig. 3	2.0
1246	Fig. 4	Fig. 4 | Rab22A-NeoF1 executes its functions by activating RhoA. a,b, Detection of Rho–GTP and membrane RhoA (RhoA-mem) in the indicated stable
1247	Fig. 4	cell lines by western blotting. Data are representative of n = 3 biologically independent experiments. NC, negative control shRNA. Vector, vector-only
1248	Fig. 4	control. c–f, Migration and invasion (c,e) and adhesion (d,f) assays using the indicated stable cell lines. Data are mean ± s.d. of n = 3 biologically
1249	Fig. 4	independent experiments. P values are shown; two-tailed Student’s t-test. NC, negative control shRNA. Vector, vector-only control. g–j, The in vivo
1250	Fig. 4	orthotopic model of osteosarcoma metastasis using the indicated stable cell lines (n = 6 biologically independent animals). g, Representative images of
1251	Fig. 4	mice. h, H&E staining of lungs from representative tumour-bearing nude mice. Scale bars, 5 mm. i,j, Quantification of lung nodules. Data are mean ± s.d.
1254	Fig. 4	875
1261	Fig. 4	Flag
1262	Fig. 4	Flag
1265	Fig. 4	IP: Flag
1267	Fig. 4	Rab22a-NeoF1–SFB
1268	Fig. 4	SmgGDS-607–HA
1270	Fig. 4	E254K/D256
1272	Fig. 4	E254K/D256
1274	Fig. 4	E254K/D256
1275	Fig. 4	Rab22a–SFB
1288	Fig. 4	65
1289	Fig. 4	65
1290	Fig. 4	35
1291	Fig. 4	35
1292	Fig. 4	45
1293	Fig. 4	Rab22a–SFB
1294	Fig. 4	Rab22a-NeoF1–SFB
1307	Fig. 4	SmgGDS–HA
1308	Fig. 4	558 607 558 607 558 607
1309	Fig. 4	Flag
1311	Fig. 4	Flag
1313	Fig. 4	IP: Flag
1316	Fig. 4	65
1317	Fig. 4	35
1318	Fig. 4	(kDa)
1319	Fig. 4	(kDa)
1320	Fig. 4	(kDa)
1321	Fig. 4	35
1322	Fig. 4	35
1323	Fig. 4	65
1325	Fig. 4	Flag
1328	Fig. 4	Flag
1331	Fig. 4	Rab22a-NeoF1–SFB
1332	Fig. 4	SmgGDS-607–HA
1340	Fig. 4	E254K/D256K
1342	Fig. 4	E254K/D256K
1345	Fig. 4	25
1346	Fig. 4	35
1347	Fig. 4	65
1348	Fig. 4	65
1349	Fig. 4	35
1350	Fig. 4	25
1351	Fig. 4	35
1354	Fig. 4	143B
1355	Fig. 4	U2OS/MTX300
1356	Fig. 4	0
1357	Fig. 4	1
1358	Fig. 4	2
1359	Fig. 4	3
1360	Fig. 4	4
1362	Fig. 4	Rab22a-NeoF1
1363	Fig. 4	Rab22a-NeoF1 + sgNC
1364	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #1
1365	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #1 + SmgGDS
1366	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #1 + SmgGDS(E254K/D256K)
1367	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2
1368	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2 + SmgGDS
1369	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2 + SmgGDS(E254K/D256K)
1371	Fig. 4	P = 0.0078
1372	Fig. 4	P = 0.1904
1373	Fig. 4	P = 0.3828
1374	Fig. 4	P = 0.234
1375	Fig. 4	P = 0.1487
1376	Fig. 4	P = 0.0048
1377	Fig. 4	P = 0.0174
1378	Fig. 4	P = 0.0017
1379	Fig. 4	P = 0.0078
1380	Fig. 4	P = 0.4778
1381	Fig. 4	P = 0.5286
1382	Fig. 4	P = 0.7418
1383	Fig. 4	P = 0.1276
1384	Fig. 4	P = 0.0022
1385	Fig. 4	P = 0.006
1386	Fig. 4	P = 0.0052
1389	Fig. 4	143B
1390	Fig. 4	U2OS/MTX300
1391	Fig. 4	0
1392	Fig. 4	1
1393	Fig. 4	2
1394	Fig. 4	3
1395	Fig. 4	4
1397	Fig. 4	Rab22a-NeoF1
1398	Fig. 4	Rab22a-NeoF1 + sgNC
1399	Fig. 4	Rab22a-NeoF1 + SmgGDS sg1
1400	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #1 + SmgGDS
1401	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #1 + SmgGDS(E254K/D256K)
1402	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2
1403	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2 + SmgGDS
1404	Fig. 4	Rab22a-NeoF1 + sgSmgGDS #2 + SmgGDS(E254K/D256K)
1406	Fig. 4	P = 0.0003
1407	Fig. 4	P = 0.1331
1408	Fig. 4	P = 0.8614
1409	Fig. 4	P = 0.5608
1410	Fig. 4	P = 0.0825
1411	Fig. 4	P = 0.001
1412	Fig. 4	P = 0.0004
1413	Fig. 4	P = 0.0004
1414	Fig. 4	P = 0.0034
1415	Fig. 4	P = 0.3189
1416	Fig. 4	P = 0.0917
1417	Fig. 4	P = 0.2394
1418	Fig. 4	P = 0.2240
1419	Fig. 4	P = 0.0006
1420	Fig. 4	P = 0.0009
1421	Fig. 4	P = 0.0008
1423	Fig. 4	U2OS/MTX300
1424	Fig. 4	sgSmgGDS #1
1425	Fig. 4	SmgGDS
1426	Fig. 4	sgSmgGDS #2
1427	Fig. 4	143B
1429	Fig. 4	Rab22a-NeoF1
1430	Fig. 4	sgNC sg1
1431	Fig. 4	sg2
1432	Fig. 4	SmgGDS
1433	Fig. 4	E254K
1434	Fig. 4	/D256K
1435	Fig. 4	SmgGDS
1436	Fig. 4	E254K
1437	Fig. 4	/D256K
1438	Fig. 4	Rab22a-NeoF1
